station id,station name,valid,količina padavin [mm],dež,nevihta,sneg,sodra,poledica,padavine,snežna odeja
_2855,LJUBLJANA - ŠENTVID,2022-10-24,0.3,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-25,23,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-26,0.4,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-27,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-28,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-29,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-30,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-10-31,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-01,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-02,0,da,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-03,4.4,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-04,6.3,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-05,11.9,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-06,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-07,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-08,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-09,0,da,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-10,4.3,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-11,18.8,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-12,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-13,0,da,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-14,0.4,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-15,2.3,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-16,0.5,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-17,6.9,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-18,5.4,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-19,6.3,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-20,9.5,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-21,0.1,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-22,2.2,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-23,17,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-24,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-25,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-26,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-27,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-28,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-29,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-11-30,0,da,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-01,1.5,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-02,8.9,da,ne,ne,ne,ne,da,ne
